baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_ID	symbols	descriptions	
HBE1	931370.2429	-5.900865623	0.964998387	5.85E-13	2.63E-11	ENSMMUG00000041831	HBE1	hemoglobin subunit epsilon 1
INSR	109.357653	2.031227991	0.292935167	6.11E-13	2.73E-11	ENSMMUG00000028907	INSR	insulin receptor
KCTD15	80.33601497	3.890866951	0.555377189	6.16E-13	2.74E-11	ENSMMUG00000011319	KCTD15	potassium channel tetramerization domain containing 15
UNC5D	27.64480307	4.045926003	0.602634537	6.37E-13	2.83E-11	ENSMMUG00000010638	UNC5D	unc-5 netrin receptor D
CBLN3	32.84897893	4.220555266	0.648710471	7.38E-13	3.25E-11	ENSMMUG00000009515	CBLN3	cerebellin 3
ERVW-1	193.4882795	3.883936955	0.580423476	8.04E-13	3.52E-11	ENSMMUG00000049959	ERVW-1	"endogenous retrovirus group W member 1, envelope"
HBM	1902.240368	-6.029263993	0.890182989	8.30E-13	3.62E-11	ENSMMUG00000057274	HBM	hemoglobin subunit mu
ATP8B4	472.7555491	2.997618133	0.444005013	9.66E-13	4.18E-11	ENSMMUG00000003684	ATP8B4	ATPase phospholipid transporting 8B4 (putative)
DCHS2	77.56626158	4.737527287	0.703576903	1.03E-12	4.43E-11	ENSMMUG00000014024	DCHS2	dachsous cadherin-related 2
MCEMP1	823.2008222	3.322984109	0.490246007	1.12E-12	4.78E-11	ENSMMUG00000012535	MCEMP1	mast cell expressed membrane protein 1
TEKT2	42.68951115	5.220756519	0.822919877	1.14E-12	4.86E-11	ENSMMUG00000012028	TEKT2	tektin 2
RHOU	122.4647384	2.650559429	0.391891883	1.14E-12	4.86E-11	ENSMMUG00000057995	RHOU	ras homolog family member U
PLXNB1	50.14684906	5.074983986	0.7943314	1.33E-12	5.53E-11	ENSMMUG00000003074	PLXNB1	plexin B1
ITIH4	53.06453829	4.540003828	0.697126063	1.33E-12	5.53E-11	ENSMMUG00000014523	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4
MCTP1	172.0810746	2.295003344	0.338453789	1.47E-12	6.03E-11	ENSMMUG00000001397	MCTP1	multiple C2 and transmembrane domain containing 1
H6PD	433.0297645	3.173208978	0.508932715	1.62E-12	6.63E-11	ENSMMUG00000016711	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
SLC6A12	284.3276261	2.618477452	0.388589972	1.68E-12	6.86E-11	ENSMMUG00000061421	SLC6A12	solute carrier family 6 member 12
LHX5	100.802973	3.536166168	0.546167843	1.94E-12	7.86E-11	ENSMMUG00000061944	LHX5	LIM homeobox 5
CSF3R	899.4525121	4.664624637	0.711207732	1.99E-12	8.07E-11	ENSMMUG00000020434	CSF3R	colony stimulating factor 3 receptor
SDK1	61.59738144	4.259506317	0.659526106	2.13E-12	8.57E-11	ENSMMUG00000019724	SDK1	sidekick cell adhesion molecule 1
KIF24	64.71972381	4.004526834	0.672966123	2.16E-12	8.67E-11	ENSMMUG00000018726	KIF24	kinesin family member 24
CUZD1	340.8500354	3.189084954	0.480419763	2.17E-12	8.68E-11	ENSMMUG00000010458	CUZD1	NA
RASGRF1	34.93880341	4.477957585	0.678425584	2.43E-12	9.67E-11	ENSMMUG00000064827	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
NRG2	24.86537748	5.356698125	0.787236694	2.48E-12	9.84E-11	ENSMMUG00000010301	NRG2	neuregulin 2
IQCE	77.06281441	1.836288141	0.270733929	2.66E-12	1.05E-10	ENSMMUG00000006458	IQCE	IQ motif containing E
TMCO5A	454.2156884	3.768230405	0.583695905	2.75E-12	1.08E-10	ENSMMUG00000009668	TMCO5A	transmembrane and coiled-coil domains 5A
MCC	161.7387712	2.694666099	0.403082699	2.86E-12	1.12E-10	ENSMMUG00000013557	MCC	MCC regulator of WNT signaling pathway
FUT1	222.0730381	2.885419985	0.43255228	2.95E-12	1.15E-10	ENSMMUG00000004020	FUT1	fucosyltransferase 1 (H blood group)
FARP1	66.3270096	4.51341773	0.716553915	2.97E-12	1.15E-10	ENSMMUG00000009890	FARP1	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"
INTS1	317.8935149	1.718328785	0.253993929	3.27E-12	1.27E-10	ENSMMUG00000012548	INTS1	integrator complex subunit 1
IRX5	15.52995416	6.627078164	1.193837327	3.39E-12	1.31E-10	ENSMMUG00000017440	IRX5	iroquois homeobox 5
NBEAL2	152.311011	2.523919728	0.380009182	3.57E-12	1.36E-10	ENSMMUG00000019813	NBEAL2	neurobeachin like 2
NOL9	162.6900228	1.857255623	0.276653697	3.57E-12	1.36E-10	ENSMMUG00000023681	NOL9	nucleolar protein 9
PRELID2	151.4803227	-1.99416061	0.296177847	4.02E-12	1.51E-10	ENSMMUG00000013588	PRELID2	PRELI domain containing 2
ANKEF1	17.59186146	6.17013315	1.064144627	4.26E-12	1.60E-10	ENSMMUG00000015923	ANKEF1	ankyrin repeat and EF-hand domain containing 1
SCIN	614.0124804	4.575005605	0.702351905	4.29E-12	1.61E-10	ENSMMUG00000000880	SCIN	scinderin
GJD4	99.43298238	3.73561904	0.559304582	4.50E-12	1.68E-10	ENSMMUG00000061153	GJD4	gap junction protein delta 4
ADGRG3	1477.833991	4.285013234	0.693277153	5.02E-12	1.86E-10	ENSMMUG00000015690	ADGRG3	adhesion G protein-coupled receptor G3
TEX11	89.44921047	3.835058526	0.60138436	5.48E-12	2.01E-10	ENSMMUG00000003049	TEX11	testis expressed 11
CELF6	27.14391511	4.776636535	0.787542785	5.96E-12	2.18E-10	ENSMMUG00000010687	CELF6	CUGBP Elav-like family member 6
MSRB1	1334.871242	1.21913673	0.180940119	6.03E-12	2.19E-10	ENSMMUG00000007936	MSRB1	methionine sulfoxide reductase B1
CACNA1E	70.28363907	3.788238787	0.585298429	6.04E-12	2.19E-10	ENSMMUG00000014498	CACNA1E	calcium voltage-gated channel subunit alpha1 E
CHRNA5	17.56029259	5.415347621	0.825843408	6.33E-12	2.29E-10	ENSMMUG00000010743	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit
PRKACB	932.534894	-1.649938072	0.252298535	6.43E-12	2.32E-10	ENSMMUG00000003457	PRKACB	protein kinase cAMP-activated catalytic subunit beta
LRP5	140.3812379	2.639106983	0.403556269	6.43E-12	2.32E-10	ENSMMUG00000031237	LRP5	LDL receptor related protein 5
PTPRT	39.67660004	5.19924286	0.795656533	6.52E-12	2.34E-10	ENSMMUG00000001108	PTPRT	protein tyrosine phosphatase receptor type T
GCGR	148.4652756	3.911349055	0.695460597	6.60E-12	2.36E-10	ENSMMUG00000000256	GCGR	glucagon receptor
RABGGTB	583.902637	1.995517203	0.302158695	6.59E-12	2.36E-10	ENSMMUG00000000873	RABGGTB	Rab geranylgeranyltransferase subunit beta
LRIG1	116.5757142	2.870672905	0.459136246	6.98E-12	2.49E-10	ENSMMUG00000001531	LRIG1	leucine rich repeats and immunoglobulin like domains 1
SUSD2	43.20609179	5.66847114	0.939722805	7.13E-12	2.54E-10	ENSMMUG00000020994	SUSD2	sushi domain containing 2
NCLN	1461.398418	2.455429565	0.390880254	7.60E-12	2.68E-10	ENSMMUG00000017036	NCLN	nicalin
TSC22D1	3990.170739	-3.434389437	0.576082187	7.76E-12	2.73E-10	ENSMMUG00000003753	TSC22D1	TSC22 domain family member 1
TEKT5	203.552859	3.388174396	0.538214101	7.75E-12	2.73E-10	ENSMMUG00000019726	TEKT5	tektin 5
KLHL6	552.2931515	1.869944769	0.284258041	7.78E-12	2.73E-10	ENSMMUG00000022115	KLHL6	kelch like family member 6
DNAJC22	99.74011986	3.459845826	0.555713803	8.03E-12	2.81E-10	ENSMMUG00000007548	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
ZNF497	135.7327947	3.187308117	0.496031546	8.07E-12	2.82E-10	ENSMMUG00000059776	ZNF497	zinc finger protein 497
NDNF	92.15061294	5.021323572	0.775965223	8.49E-12	2.94E-10	ENSMMUG00000013989	NDNF	neuron derived neurotrophic factor
TENM4	97.69594292	3.410648022	0.531948632	8.49E-12	2.94E-10	ENSMMUG00000042218	TENM4	teneurin transmembrane protein 4
TMEM145	20.14539234	3.938118879	0.644781131	9.00E-12	3.10E-10	ENSMMUG00000012170	TMEM145	transmembrane protein 145
BTBD11	90.29551683	4.028440497	0.651762009	9.51E-12	3.27E-10	ENSMMUG00000015540	BTBD11	BTB domain containing 11
SLC26A9	21.67592044	5.563666279	0.953432811	9.73E-12	3.34E-10	ENSMMUG00000014694	SLC26A9	solute carrier family 26 member 9
CYFIP2	1013.967112	2.78705076	0.441927925	1.03E-11	3.50E-10	ENSMMUG00000010997	CYFIP2	cytoplasmic FMR1 interacting protein 2
OTOP2	188.3397583	3.341498783	0.542199713	1.13E-11	3.82E-10	ENSMMUG00000053983	OTOP2	otopetrin 2
OVOL2	120.592814	3.588790155	0.547762258	1.16E-11	3.93E-10	ENSMMUG00000053412	OVOL2	ovo like zinc finger 2
PRKCA	47.52811147	5.313295754	0.879335344	1.19E-11	4.01E-10	ENSMMUG00000018378	PRKCA	protein kinase C alpha
TMEM250	128.5954379	1.385691393	0.208272748	1.25E-11	4.21E-10	ENSMMUG00000041988	TMEM250	transmembrane protein 250
IDO1	4857.944328	2.398709205	0.386350612	1.26E-11	4.24E-10	ENSMMUG00000019304	IDO1	"indoleamine 2,3-dioxygenase 1"
SYNE3	541.7728026	2.114091706	0.330491378	1.29E-11	4.34E-10	ENSMMUG00000004931	SYNE3	spectrin repeat containing nuclear envelope family member 3
DCDC2C	102.4905904	3.764035017	0.589726864	1.29E-11	4.34E-10	ENSMMUG00000023273	DCDC2C	doublecortin domain containing 2C
EDC4	291.4143716	1.6515612	0.251010038	1.30E-11	4.34E-10	ENSMMUG00000011888	EDC4	enhancer of mRNA decapping 4
S100A8	1208.4846	4.842071648	0.770161928	1.30E-11	4.34E-10	ENSMMUG00000044778	S100A8	S100 calcium binding protein A8
CYB5D1	23.10826388	3.33780654	0.526325892	1.35E-11	4.48E-10	ENSMMUG00000063668	CYB5D1	cytochrome b5 domain containing 1
LRRC2	609.6958841	-3.566667074	0.559788925	1.40E-11	4.64E-10	ENSMMUG00000060922	LRRC2	leucine rich repeat containing 2
SEC14L4	126.6708889	4.131769079	0.621357272	1.41E-11	4.67E-10	ENSMMUG00000046054	SEC14L4	SEC14 like lipid binding 4
ARSA	757.2049382	1.797790315	0.27896526	1.46E-11	4.80E-10	ENSMMUG00000016274	ARSA	arylsulfatase A
LILRA6	103.0414261	3.776840485	0.639852151	1.46E-11	4.80E-10	ENSMMUG00000021881	LILRA6	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6"
HHLA2	929.0411535	3.296687873	0.520592067	1.54E-11	5.06E-10	ENSMMUG00000019978	HHLA2	HERV-H LTR-associating 2
PNPLA2	196.6558589	1.96919888	0.311267076	1.56E-11	5.12E-10	ENSMMUG00000056078	PNPLA2	patatin like phospholipase domain containing 2
CEMIP	73.6989667	3.638039205	0.569679482	1.61E-11	5.28E-10	ENSMMUG00000002038	CEMIP	cell migration inducing hyaluronidase 1
ATXN1	26.92434974	2.97431191	0.465528139	1.63E-11	5.32E-10	ENSMMUG00000002940	ATXN1	ataxin 1
DACH1	46.92501485	4.241140317	0.667250448	1.67E-11	5.46E-10	ENSMMUG00000013234	DACH1	dachshund family transcription factor 1
UBE2U	745.2166946	3.128299794	0.496081542	1.80E-11	5.87E-10	ENSMMUG00000012538	UBE2U	ubiquitin conjugating enzyme E2 U
PATL2	16.74344524	4.001578889	0.652100347	1.84E-11	5.99E-10	ENSMMUG00000014294	PATL2	PAT1 homolog 2
KIF18B	54.22312612	3.028196496	0.491879232	1.85E-11	6.01E-10	ENSMMUG00000013113	KIF18B	kinesin family member 18B
GRAP	278.9646824	2.696305959	0.441097654	1.95E-11	6.26E-10	ENSMMUG00000005327	GRAP	GRB2-related adaptor protein
AGBL2	35.58903919	3.406560302	0.537097995	1.97E-11	6.33E-10	ENSMMUG00000012881	AGBL2	ATP/GTP binding protein like 2
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
